Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Indicator Name,Unit,Footnote (2019-2020),2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Small—10,000–20,000 connected properties",Byron Shire Council,Water Resources,Outflow from plant,W18.5,Volume of treated effluent outflow from wastewater treatment plants,ML,,3388,3104,3580,3565,3254,3098,3126,4550,3257,3210,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Byron Shire Council,Water Resources,Use,W20,Volume of recycled water supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Water Treatment Plants,A1,Number of water treatment plants providing full treatment,plants,,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Other Water Assets,A2,Length of water mains,km,,2252,2213,2197,2173,2169,2181,2102,2375,2382,2347,2375,2288,2001,1969,1909,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Other Water Assets,A3,Number of properties served per km of water main,properties/km,,33.3,33.1,33,33.1,34,33.3,34.5,33.6,33.2,33.5,34.8,35.3,35,33,32,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Wastewater assets,A4,Number of wastewater treatment plants,plants,,6,6,6,6,6,6,6,8,8,8,8,8,6,6,6,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Wastewater assets,A5,Length of sewer mains and channels,Km,,1312,1312,1298,1262,1258,1246,1232,1327,1312,1293,1273,1229,1130,1122,1061,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Wastewater assets,A6,Number of properties served per km of sewer main,properties/km,,56.3,55.8,54.2,53.5,56.3,53.1,53.2,55.5,55.5,52.8,57.1,57.8,55,52,53,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Water Main Breaks,A8,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,20.1,20,23,10.5,12.4,13.3,14.1,13,12.1,13.7,15.6,14.2,19,15,15,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Water Losses,A9,Infrastructure leakage index (ILI),ratio,,0.3,1.7,0.2,0.1,0.3,0.3,0.6,0.8,1.3,1.6,1.7,1.8,2.4,3.3,2.7,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Water Losses,A10,Real losses: service connections,L/service connection/day,,31.3,46.3,21.4,7.9,27,24,50.59,78,120,147,162,165,223,328,271,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Water Losses,A11,Real losses: water mains,kL/km water main/day,,0.8,1.2,0.5,0.2,1,0.6,1.33,1.99,3.04,3.71,4.05,4.16,9.1,13.7,11.4,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Wastewater breaks and chokes,A14,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,12.9,15.1,14.5,11.8,7.2,7.6,14.7,14.6,22.1,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Wastewater breaks and chokes,A15,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,2.3,2.7,2.7,2.2,1.4,3.2,3.2,1.3,9.4,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Assets,Water Main Breaks,IA8,"Number of water main breaks, bursts, and leaks",mains breaks,,452,443,506,229,269,290,296,310,314,321,370,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C1,Population receiving services: water supply,population 000s,Population distribution impacted by improvements in the connected properties data,170.218,168.241,166.568,162.68,161.557,158.315,160.315,167.555,192.156,172.982,169.694,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C2,Number of connected residential properties: water supply,population 000s,improved correlation of rating data to scheme boundaries and boundary changes resulted in totals outside tolerances,70.532,68.737,68.225,67.621,69.49,68.321,68.125,74.869,74.179,73.86,71.907,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C3,Number of connected non-residential properties: water supply,population 000s,improved correlation of rating data to scheme boundaries and boundary changes resulted in totals outside tolerances,4.454,4.439,4.287,4.227,4.221,4.304,4.325,4.884,4.857,4.839,10.684,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C4,Total number of connected properties: water supply,population 000s,,74.986,73.176,72.512,71.848,73.711,72.625,72.45,79.753,79.036,78.699,82.591,80.791,70,65,62,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C6,Number of connected residential properties: wastewater,population 000s,,70.394,69.798,67.25,64.296,67.002,63.038,62.353,70.058,69.273,64.651,68.721,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C7,Number of connected non-residential properties: wastewater,population 000s,,3.415,3.378,3.104,3.224,3.802,3.171,3.189,3.572,3.559,3.551,4.023,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connected Properties and Population,C8,Total number of connected properties: wastewater,population 000s,,73.809,73.176,70.354,67.52,70.804,66.209,65.542,73.63,72.832,68.202,72.744,71.04,62,58,56,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Water quality complaints,C9,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,3,2,2.4,3.5,2.3,3,3,2.7,3.1,2.9,3,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Water service complaints,C10,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,0,0.1,0,0,0.1,0.2,,,56.7,64.2,55.6,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Wastewater service complaints,C11,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,0,0,0,0,0.1,0.1,4.3,6.9,8.6,9.1,6.2,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Billing and account complaints,C12,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,0,0.1,0,0.1,0.3,0.2,0.1,0.1,0.3,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Total water and wastewater complaints,C13,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,3,2.1,2.4,3.6,2.9,3,,,74.8,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Connect time to a telephone operator,C14,Percentage of calls answered by an operator within 30 seconds,%,CS Aver 57secs refer dm6475731,No data,No data,Not applicable,No data,No data,76.2,,75.5,79.7,70.2,69.6,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Average duration of unplanned water supply interruptions,C15,Average duration of an unplanned interruption: water supply,minutes,,76.9,44.5,49.3,65.1,92,44.2,49.7,109.3,46,49,95,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Water interruption frequency,C17,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,147.1,144,118,91.2,112.5,104,115.8,110.1,116.8,174.7,134.4,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Restrictions or legal action for non-payment of water bill,C18,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Restrictions or legal action for non-payment of water bill,C19,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Water service complaints,IC10,Number of water service complaints.,complaints,,0,6,2,1,11,18,,,4481,5049,4596,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Wastewater service complaints,IC11,Number of sewerage service complaints,complaints,,0,0,0,1,6,7,280,506,625,620,450,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Billing and account complaints,IC12,Number of billing and account complaints: water supply and sewerage,complaints,,1,6,0,4,24,12,4,8,23,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Total water and wastewater complaints,IC13,Number of water and sewerage complaints,complaints,,223,156,177,259,212,237,,,5909,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Water interruption frequency,IC17,Number of unplanned interruptions: water supply,interruptions,,11032,10540,8557,6556,8293,7544,8393,8777,12855,13749,11104,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Restrictions or legal action for non-payment of water bill,IC18,Number of restrictions for non-payment of water bills,restrictions,,23,3,0,1,2,4,12,0,0,0,0,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Restrictions or legal action for non-payment of water bill,IC19,Number of legal actions taken for non-payment of water bills,legal actions,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Customers,Water quality complaints,IC9,Number of water quality complaints: water supply,complaints,,222,144,175,253,171,200,215,217,245,229,251,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Comparative wastewater treatment levels,E1,Percentage of wastewater only treated to a primary level,%,,0,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Comparative wastewater treatment levels,E2,Percentage of wastewater only treated to a secondary level,%,,2.2,2.2,2.2,2.1,2.1,1.8,3.8,4.5,2.8,10.4,9.4,100,100,100,100,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Comparative wastewater treatment levels,E3,Percentage of wastewater treated to a tertiary level,%,,97.8,97.8,97.9,97.9,91.4,98,96.2,95.5,97.2,89.6,90.6,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Biosolids reuse,E8,Percentage of biosolids reused,%,,100,97.7,92,No data,No data,100,100,100,100,100,100,100,100,88,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,E9,"Net greenhouse gas emissions per 1,000 properties: water supply","t CO2 equivalents/1,000 properties",,27.4,36.6,37.2,No Data,No Data,,35.2,54.4,54,60.3,48.6,48.6,58,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,E10,"Net greenhouse gas emissions per 1,000 properties: wastewater","t CO2 equivalents/1,000 properties",,204,217.94,224.99,No Data,No Data,,262.35,274.25,299.53,339.42,312.84,329.1,181,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,E11,"Net greenhouse gas emissions per 1,000 properties: other","t CO2 equivalents/1,000 properties",[Not Required],Not applicable,0,0,No Data,No Data,,0,0,0,0,,0,36,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,E12,"Total net greenhouse gas emissions per 1,000 properties","t CO2 equivalents/1,000 properties",,227.7,254.5,255.5,No Data,No Data,,272.5,307.6,330,354.4,361.4,377.7,251,240,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Comparative wastewater treatment levels,IE1,Volume of wastewater only treated to a primary level,ML,,4.1,122.1,124.8,0,0.6,0,0,2.9,2.9,0,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,IE10,Net greenhouse gas emissions: wastewater,t CO2 equivalents,,15017,15948,15829,No data,No data,,17194.9,20192.9,21815,23149,22757,23379,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,IE11,Net greenhouse gas emissions: other,t CO2 equivalents,[Not Required],Not applicable,0,Not applicable,No data,No data,,0,0,0,0,,0,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,IE12,Total net greenhouse gas emissions,ML,,17072,18626,18526,No data,No data,,19743,24534,26085,27892,,27309,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Comparative wastewater treatment levels,IE2,Volume of wastewater only treated to a secondary level,ML,,412.1,510.1,448.2,394.8,416,350.2,794.2,874.2,593.4,2591.5,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Comparative wastewater treatment levels,IE3,Volume of wastewater treated to a tertiary level,ML,,18100,22471.6,20372.9,18862.7,18152.6,18615.1,19859.3,18469.9,20583.4,22257.6,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Environment,Net greenhouse gas emissions,IE9,Net greenhouse gas emissions: water supply,t CO2 equivalents,,2055,2678,2697,No data,No data,,2548.3,4341.6,4269.5,4743,4015,3930,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F1,Total revenue: water supply,$ 000s,,60420,62159.658,62345.419,60833.055,60099.557,65821.712,59266.636,64007.117,59334.287,57081.954,61010.485,64951.287,45568.611,52654.686,45544.724,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F2,Total revenue: wastewater,$ 000s,,78698,80021.186,80247.864,81410.67,79026.432,82582.707,79286.766,82449.794,77357.68,77176.698,77494.957,64330.742,62360.231,66613.868,71941.425,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F3,Total income for the utility,$ 000s,,139118,142182.871,142598.433,142243.725,139125.989,148568.661,132606.278,147231.097,136691.967,134258.652,138506.662,137050.713,117455.08,119268.554,117486.149,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F4,Percentage of residential revenue from usage charges: water supply,%,,47.8,52.5,51.8,No data,No data,53.7,51.8,53.5,52.7,49.8,51.2,54.3,39.3,47.2,50.1,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F5,Revenue per property: water supply,$/property,,806,849.45,859.79,846.69,815.34,906.32,818.04,802.57,750.72,725.32,738.71,803.94,651.48,810.48,734.46,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F6,Revenue per property: wastewater,$/property,,1066,1093.54,1140.63,1205.73,1116.13,1247.3,1209.71,1119.79,1062.14,1131.59,1065.31,905.56,1005.54,1148.51,1285.3,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue,F7,Total income per property,$/property,,1855,1943.02,1966.55,1979.78,1887.45,2045.7,1830.32,1846.09,1729.49,1705.98,1677.02,1696.36,1677.62,1835.23,1895.07,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Revenue from community service obligations (CSOs),F8,Community service obligations ratio,ratio,,0.025,0.0258,0.0286,0.0283,0.0288,0.0274,0.0309,0.0281,0.0282,0.0284,0.0291,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,F9,Written-down replacement cost of fixed water supply assets,$ 000s,,556517,538877.825,537598.677,546279.573,551778.644,533161.386,537138.041,594570.166,598265.675,580421.581,585715.542,578934.223,568221.635,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,F10,Written-down replacement cost of fixed wastewater assets,$ 000s,,681645,710798.834,676780.401,689284.499,687106.23,667642.335,664095.269,756506.565,740261.894,647821.064,633798.608,473739.857,460017.268,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,F11,Operating cost per property: water supply,$/property,,305,311.42,305.51,296.98,292.66,306.02,301.76,311.21,357.07,328.88,324.97,389.07,193.13,372.64,375.45,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,F12,Operating cost per property: wastewater,$/property,,404,400.9,405.3,422.92,400.62,421.16,446.24,434.22,505.19,513.1,467.86,491.17,297.41,334.04,405.6,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,F13,Combined operating cost per property: water supply and wastewater,$/property,,702.49,712.31,710.79,692.97,693.05,727.18,748,745.43,862.26,841.98,792.83,820.96,457.06,669.41,742.68,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,F13.1,Combined operating cost per ML: water supply and wastewater - bulk utility,$/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital Expenditure,F14,Capital expenditure: water supply,$ 000s,,21198,25481.001,24550.453,19362.844,4172.157,16454.616,20940.077,13803.532,27885.873,15769.11,13081.171,7018.285,3827.748,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital Expenditure,F15,Capital expenditure: wastewater,$ 000s,,24599,23037.784,12813.948,15304.857,14422.612,15193.373,18665.827,18197.904,19917.272,14464.978,58303.951,151564.241,24033.827,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital Expenditure,F16,Total capital expenditure: water supply and wastewater,$ 000s,,45797,48519,37364,34668,18595,31648,39606,32001,47803,30234,71385,158583,27862,21871,17598,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital Expenditure,F28,Capital expenditure per property: water supply,$/property,,282.69,348.21,338.57,269.5,56.6,226.57,289.03,173.08,352.82,200.37,158.38,86.87,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital Expenditure,F29,Capital expenditure per property: wastewater,$/property,,333.28,314.827,182.1353,226.6715,203.6977,229.476,284.7918,247.1534,273.4687,212.0902,801.495,2133.5056,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Economic real rate of return,F17,Economic real rate of return: water supply,ratio,,4.1,4.5,4.6,4.3,4.4,5.3,4.01,3.53,0.03,2.07,2.45,0.02,3.4,5,3.7,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Economic real rate of return,F18,Economic real rate of return: wastewater,ratio,,4.1,4.1,4.6,4.7,4.3,5.1,4.19,3.54,0.03,2.59,2.94,0.03,4.2,11.6,11.6,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Economic real rate of return,F19,Economic real rate of return: water supply and wastewater,ratio,,4.1,4.3,4.6,4.6,4.3,5.2,4.11,3.54,0.03,2.35,2.7,0.02,1.9,4.8,4.3,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Dividends,F20,Dividends,$ 000s,,26192,25438.44,31939.074,28661.041,22324.828,22901.915,26200.58,24324.402,22508.885,19082.663,12463.72,4667.203,19053.764,12431.377,9206.781,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Dividends,F21,Dividend payout ratio,ratio,,84.5,0.8,0.8,0.7,0.6,0.5,0.8,0.8,0.8,0.8,0.4,0.5,0.5,0.3,0.3,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Net debt to equity,F22,Net debt to equity ratio,ratio,,0.1,0,0,0,6.4,7,7.5,7.5,0.1,13.1,11,0.1,7.2,8.7,10.3,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Interest cover,F23,Interest cover ratio,ratio,,100,100,100,100,11.4,13.6,10.32,9.1,3.8,2.37,2.69,2.96,9.8,8.2,6.7,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Dividends,F24,Net profit after tax (NPAT),$ 000s,,30981,33607.155,41642.24,42125.368,34881.877,44660.235,32370.625,32422.446,27729.883,23684.765,34450.338,9484.236,39156.843,39302.368,35051.268,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Net profit after tax,F30,Net profit after tax ratio,ratio,,22.3,0.2364,0.292,0.2961,0.2507,0.3006,0.2441,0.2202,0.2029,0.1764,0.2487,0.0692,0.3334,0.3295,0.2983,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Community service obligations (CSOs),F25,Community service obligations ($),$ 000s,,3507,3670.399,4075.948,4024.389,4013.044,4068.184,4098.354,4130.43,3851.884,3818.709,4036.615,0,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital works grants,F26,Capital works grants: water supply,$ 000s,,741,697.193,713.832,0,0,4.33,,624.668,4344.464,2867.434,2494.208,0,701.689,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Capital works grants,F27,Capital works grants: wastewater,$ 000s,,485,961.681,1124.826,0,0,0,,0,0,3765.652,19064.099,65938.917,0,0,0,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,IF11,Operating cost: water supply,$ 000s,,22878,22788.497,22152.473,21337.766,21571.982,22224.947,21862.458,24819.926,28221.423,25882.842,26839.586,31433.077,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Finance,Costs,IF12,Operating cost: wastewater,$ 000s,,29799,29335.832,28514.124,28556.048,28365.752,27884.593,29247.541,31971.417,36793.968,34994.462,34034.23,34892.9,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Public Health,Water quality compliance,H1,Water quality guidelines,provided as text,,ADWG 2011,ADWG 2011,ADWG 2011,No data,No data,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2004,Aust. Drinking Water Guidelines (2004),ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Public Health,Water quality compliance,H3,Percentage of population where microbiological compliance was achieved,%,,100,100,100,No data,No data,100,100,100,99.9,98.6,99.1,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Public Health,Water quality compliance,H4,Number of zones where chemical compliance was achieved,zones,,11,11,11,No data,No data,9 of 9,10 of 10,13/13,13 of 13,13 of 13,13 of 13,13 of 13,7 of 11,8 of 11,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Public Health,Water quality compliance,H4a,Total number of zones,zones,,11,11,11,,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Public Health,Water quality compliance,H5,Risk-based drinking water management plan externally assessed,yes/no,,no,no,no,No data,No data,No,n,NO,yes,No,No,No,No,No,No,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1,Tariff structure: water supply,provided as text,,"Residential - Annual access charge for each barrack, residence, flat, strata title unit and vacant allotment, plus a per KL tariff for consumption.","Residential - Annual access charge for each barrack, residence, flat, strata title unit and vacant allotment, plus a per KL tariff for consumption.","Residential - Annual access charge for each barrack, residence, flat, strata title unit and vacant allotment, plus a per KL tariff for consumption.","Residential - Annual access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption.","Access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption","Residential - Annual access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption.","Residential - Annual access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption.","Residential - Annual access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption.","Residential - Annual access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption.  Co","Residential - Annual access charge for each barrack, residence, flat, stata title unit and vacant allotment, plus a per KL tariff for consumption.  Co","Res-annual access charge for barrack,residence,flat,strata unit & vacant allot, + per KL consumption tariff. Comm-Access charge as per Rates&Charges Schedule, + per KL consumption tariff",Annual access plus per KL consumption,n/a,n/a,n/a,n/a,n/a,n/a
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.2,Fixed charge: water supply,$,,273.8,268.52,272.95,268.87,269.42,269.57,266.59,263.31,259.7,253.25,248.69,,222.33,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.3,Usage charge: step 1,$/kL,,1.23,1.21,1.23,1.21,1.21,1.2,1.2,1.19,1.17,1.16,1.09,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.4,Usage charge: step 2,$/kL,[Not Required],Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,0,0,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.5,Usage charge: step 3,$/kL,[Not Required],Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,0,0,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.6,Usage charge: step 4,$/kL,[Not Required],Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,0,0,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.7,Usage charge: step 5,$/kL,[Not Required],Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,0,0,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.12,Special levies: water supply,$,[Not Required],Not applicable,Not applicable,Not applicable,0,Not applicable,,0,,0,0,0,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.13,Income from special levies retained by the utility: water supply,yes/no,,no,no,no,no,no,no,,,No,No,No,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.3a,Upper bound of usage: step 1,kL,[Not Required],Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.4a,Upper bound of usage: step 2,kL,[Not Required],Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.5a,Upper bound of usage: step 3,kL,[Not Required],Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.6a,Upper bound of usage: step 4,kL,[Not Required],Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Residential tariff structure,P1.7a,Upper bound of usage: step 5,kL,[Not Required],Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
Queensland,"Large—50,000–100,000 connected properties",Cairns Regional Council,Pricing,Annual bill,P2,Annual residential bill based on 200 kL per annum: water supply,$,,519.8,509.7,518.1,510.27,510.44,509.46,506.65,500.83,493.37,480.47,465.89,,,,,,,
